event_id,event_title,market_question,outcomes,prices,volume,liquidity,clob_token_ids,end_date,closed,won
973859,Lowest temperature in London on September 8?,Will the lowest temperature in London be 12°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",199.05949999999999,,"[""107518676619101910885767796367154502676013546102164161005276968712710380364726"", ""55645472226265462447749536525972025234604054556369093015279414630955379210433""]",2026-09-08T12:00:00Z,True,False
973859,Lowest temperature in London on September 8?,Will the lowest temperature in London be 13°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",719.739395,,"[""38428705971434278196163482646021539856495815646502734765264823385860156963513"", ""23187850939188180459916551805807797233933207896304778535921980952414310228666""]",2026-09-08T12:00:00Z,True,False
973859,Lowest temperature in London on September 8?,Will the lowest temperature in London be 14°C on September 8?,"[""Yes"", ""No""]","[""1"", ""0""]",1836.6525079999997,,"[""9786554880810643152935823765287286731744194723681949203449642248994849698791"", ""71246628231941564484181297627063395089685679489525608314487532026817386852834""]",2026-09-08T12:00:00Z,True,True
973859,Lowest temperature in London on September 8?,Will the lowest temperature in London be 15°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",2571.5922490000003,,"[""15853155835608201774268553389913538957567711116176984660727370839859618330494"", ""98266391162870686520866812221669848456680465025435816397887324838839560456953""]",2026-09-08T12:00:00Z,True,False
973859,Lowest temperature in London on September 8?,Will the lowest temperature in London be 16°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",2222.305151,,"[""110015032085153872377192204772609123167154919157676681863789391348470845713977"", ""57624259126552938601539367155087145604231610689841572973176375519227133939788""]",2026-09-08T12:00:00Z,True,False
973859,Lowest temperature in London on September 8?,Will the lowest temperature in London be 17°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",402.19041500000003,,"[""66886762528427800346738257949052452179489143064610179200005014727150291218888"", ""98854702066634635002308881660099152224450197532081288483975595001435359395167""]",2026-09-08T12:00:00Z,True,False
973859,Lowest temperature in London on September 8?,Will the lowest temperature in London be 18°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",431.41,,"[""73312629681116885197317879316037782658778160837832279300533625392371509793083"", ""31310188686748447422524618262885782760215378215378157176275123125844820206947""]",2026-09-08T12:00:00Z,True,False
973859,Lowest temperature in London on September 8?,Will the lowest temperature in London be 19°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",919.9920000000001,,"[""45277379567736287102955423358574260918535201213287403809527389756139369816770"", ""17984224801440616892610180412523308097674533809174559999916717648514830092822""]",2026-09-08T12:00:00Z,True,False
973859,Lowest temperature in London on September 8?,Will the lowest temperature in London be 20°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",60,0,"[""149696917438012193606982474260498237538955206475266622568055571497383216350"", ""8016412077749332516112479898987085699482561732567128355838168163618779926829""]",2026-09-08T12:00:00Z,True,False
973859,Lowest temperature in London on September 8?,Will the lowest temperature in London be 21°C or higher on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",60,0,"[""21569386039054795217983281989404345425948656753389285964460213167612542282595"", ""53087030416469925913943828242394742815991801773337049854095151073766653363702""]",2026-09-08T12:00:00Z,True,False
980831,Highest temperature in London on September 9?,Will the highest temperature in London be 15°C or below on September 9?,"[""Yes"", ""No""]","[""0.001"", ""0.999""]",1999.515016,3981.51992,"[""115172065911995828668544019303676596831172820943752643389244734158917148742904"", ""44728316970510469574754631978698639301206458593914122911761609986322575215319""]",2026-09-09T12:00:00Z,False,False
980831,Highest temperature in London on September 9?,Will the highest temperature in London be 16°C on September 9?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",396.3527,1420.26959,"[""99842891571757492322884515430107853537967672407001103215643966282100577554161"", ""348404098550903611547523846115600635487905394937162742478806551391730983255""]",2026-09-09T12:00:00Z,False,False
980831,Highest temperature in London on September 9?,Will the highest temperature in London be 17°C on September 9?,"[""Yes"", ""No""]","[""0.004"", ""0.996""]",1260.8627569999996,969.10578,"[""69667087995165242952804289307572997087823591104551888839626036239668407510937"", ""27049241264233709728344345064556129205236613809405349262092334225583817259770""]",2026-09-09T12:00:00Z,False,False
980831,Highest temperature in London on September 9?,Will the highest temperature in London be 18°C on September 9?,"[""Yes"", ""No""]","[""0.06"", ""0.94""]",3617.777631,1777.8594,"[""93542963903141429400390882369142880963890885074804780783630264046184125277240"", ""101181546483292446782676697869440671159568934202389917626276589950898160524898""]",2026-09-09T12:00:00Z,False,False
980831,Highest temperature in London on September 9?,Will the highest temperature in London be 19°C on September 9?,"[""Yes"", ""No""]","[""0.37"", ""0.63""]",9451.768705999999,1636.0566,"[""92766274973647172191811600930284152189175950520741298528636635221081949882637"", ""926336167412572248147658305779222688203265466887882583034661972602489598810""]",2026-09-09T12:00:00Z,False,False
980831,Highest temperature in London on September 9?,Will the highest temperature in London be 20°C on September 9?,"[""Yes"", ""No""]","[""0.495"", ""0.505""]",11146.398567,611.2567,"[""44446403439725695129065758185347205705546288971223624599359388149579844225179"", ""46705312733490304947905680867119957241435904276248613119182977306062590751773""]",2026-09-09T12:00:00Z,False,False
980831,Highest temperature in London on September 9?,Will the highest temperature in London be 21°C on September 9?,"[""Yes"", ""No""]","[""0.1"", ""0.9""]",7029.872758999999,897.9554,"[""82965080782494246485769263605284124696333033886103843435939034387763942335926"", ""65198257633868823946163915895479321976969136619308818237796652839662064125675""]",2026-09-09T12:00:00Z,False,False
980831,Highest temperature in London on September 9?,Will the highest temperature in London be 22°C on September 9?,"[""Yes"", ""No""]","[""0.0025"", ""0.9975""]",3708.1436320000007,2971.97521,"[""95895849944895555895674534330616925841027101697776191933134439081885270971083"", ""14892140222471499350212530005878913177617601549697898464618705067011693080724""]",2026-09-09T12:00:00Z,False,False
980831,Highest temperature in London on September 9?,Will the highest temperature in London be 23°C on September 9?,"[""Yes"", ""No""]","[""0.0015"", ""0.9985""]",1183.4161969999998,3129.86523,"[""44579231623381409051232559194825544541169905880415163448923911923870423025360"", ""11174971175061384619237712384487217492119371439922137240100548670520073981041""]",2026-09-09T12:00:00Z,False,False
980831,Highest temperature in London on September 9?,Will the highest temperature in London be 24°C on September 9?,"[""Yes"", ""No""]","[""0.0015"", ""0.9985""]",1227.491,3183.76694,"[""107241354128252336803737119180157821071848558820970764166240482546024854337030"", ""98808990602964585045346426077498117055755538674762485483155860474757845823618""]",2026-09-09T12:00:00Z,False,False
980831,Highest temperature in London on September 9?,Will the highest temperature in London be 25°C or higher on September 9?,"[""Yes"", ""No""]","[""0.0015"", ""0.9985""]",1891.782802,6296.10746,"[""86934703932944231567406983151687368664041330316351912688057326039619795138419"", ""88614813993815019508404037661792952609375282369323019735728386804271687350505""]",2026-09-09T12:00:00Z,False,False
980689,Lowest temperature in London on September 9?,Will the lowest temperature in London be 6°C or below on September 9?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",255.998,2960.71556,"[""68747439370014444958612453912051035654834221521031040277903814210242318979353"", ""51446080234153748541631307923809011248504018805098899935412970562163178474380""]",2026-09-09T12:00:00Z,False,False
980689,Lowest temperature in London on September 9?,Will the lowest temperature in London be 7°C on September 9?,"[""Yes"", ""No""]","[""0.0015"", ""0.9985""]",210.2745,1944.78885,"[""86489981106866050920632058235049418793451767316558507954871694086543675629489"", ""79366293584066515913590325225888821751816427527942456983904734933608859149743""]",2026-09-09T12:00:00Z,False,False
980689,Lowest temperature in London on September 9?,Will the lowest temperature in London be 8°C on September 9?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",157.866013,1439.18538,"[""48944127492358814723300547842190836051762970626100015308347464921226559018958"", ""18224848105120565318993388629746524864580182252034090838651470193800836818006""]",2026-09-09T12:00:00Z,False,False
980689,Lowest temperature in London on September 9?,Will the lowest temperature in London be 9°C on September 9?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",203.22601300000002,1124.40224,"[""26639059411128265460376783981800019522903828290730283790414460843454326415250"", ""82651827778760833326863659799490032006060621100949014479921563937217707086278""]",2026-09-09T12:00:00Z,False,False
980689,Lowest temperature in London on September 9?,Will the lowest temperature in London be 10°C on September 9?,"[""Yes"", ""No""]","[""0.006"", ""0.994""]",101.231,316.77969,"[""28851576324931362804076109888317193012067430601030161290475584283992766035426"", ""2696507616617952886031694273889062067924418305516531302524878825747265626368""]",2026-09-09T12:00:00Z,False,False
980689,Lowest temperature in London on September 9?,Will the lowest temperature in London be 11°C on September 9?,"[""Yes"", ""No""]","[""0.01"", ""0.99""]",750.374162,219.2682,"[""27138071195982094492072927316073403769734160694388948847885688198394641328181"", ""40073763102289347844055413894752825127518531976529088061462408656241240393582""]",2026-09-09T12:00:00Z,False,False
980689,Lowest temperature in London on September 9?,Will the lowest temperature in London be 12°C on September 9?,"[""Yes"", ""No""]","[""0.985"", ""0.015""]",2873.7806149999997,388.2633,"[""20670941375903170256153008035263259780391590028236844554883471429985443535527"", ""98044901746267436968093789735755113677634476780015542025548757182039205356531""]",2026-09-09T12:00:00Z,False,False
980689,Lowest temperature in London on September 9?,Will the lowest temperature in London be 13°C on September 9?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",2867.7997609999998,9282.59872,"[""25290191078298083315723199155669760706051036029278737016737894471782282596907"", ""3420143039264864414010781033358538622598809609869362846804087547614362970149""]",2026-09-09T12:00:00Z,False,False
980689,Lowest temperature in London on September 9?,Will the lowest temperature in London be 14°C on September 9?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",167.956928,7910.17052,"[""111297160025813162010233649610187413324023392898476545340427883112613774986326"", ""62493775000370356148574211559369877711270779466161688212237380378779745109954""]",2026-09-09T12:00:00Z,False,False
980689,Lowest temperature in London on September 9?,Will the lowest temperature in London be 15°C on September 9?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",171.888,9009.3815,"[""25102723696315782025403950912544408195261151695429040059519348604729763135881"", ""22505706973862572622581544754200596912549118534994473370688814172408046127631""]",2026-09-09T12:00:00Z,False,False
980689,Lowest temperature in London on September 9?,Will the lowest temperature in London be 16°C or higher on September 9?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",119.99799999999999,9104.42674,"[""64470772386298992613000463303164780570670454616665536063966114806755285431916"", ""12005151711260613652803367095685314989501278859918104669309246288649589310397""]",2026-09-09T12:00:00Z,False,False
